id,name,description,iconUrl
1,Noleggio bici,Punti di noleggio biciclette utili per itinerari su due ruote.,bi-bicycle
2,Arrampicata,"Falesie, palestre e punti dedicati all'arrampicata.",bi-tsunami
3,Kayak e canoa,Centri e spot per kayak e canoa.,bi-water
4,Sci e impianti sciistici,Piste e infrastrutture per sport invernali.,bi-snow
5,Maneggi,Centri equestri e maneggi.,bi-heart-pulse
6,Pesca,Luoghi dedicati alla pesca sportiva o ricreativa.,bi-badge-ad
7,Centri benessere,"Spa, terme e strutture wellness.",bi-droplet-half
8,Piscine,Piscine e impianti per il nuoto.,bi-tsunami
9,Parchi,Parchi urbani e aree verdi attrezzate.,bi-flower1
10,Foreste,Aree boschive e foreste di interesse naturalistico.,bi-tree
11,Riserve naturali,Aree protette e riserve naturali.,bi-shield-check
12,Picchi e montagne,"Cime, picchi e punti notevoli in quota.",bi-triangle
13,Cascate,Cascate e salti d'acqua di interesse turistico.,bi-droplet
14,Campeggi,Campeggi e aree per soggiorni outdoor.,bi-tent
15,Aree picnic,Aree attrezzate per picnic e pause all'aperto.,bi-egg-fried
16,Sentieri,Sentieri escursionistici utili per percorsi a piedi.,bi-signpost-2
17,Piste ciclabili,Percorsi ciclabili dedicati o protetti.,bi-bicycle
18,Stazioni,Stazioni ferroviarie per itinerari multimodali.,bi-train-front
19,Fermate bus,Fermate autobus utili per gli spostamenti locali.,bi-bus-front
20,Parcheggi,Parcheggi di supporto agli itinerari.,bi-p-square
21,Fast food,Punti ristoro veloci.,bi-bag
22,Caffe,Bar caffetteria e caffe storici.,bi-cup-hot
23,Gelaterie,Gelaterie artigianali e punti dessert.,bi-cone-striped
24,Panetterie,"Forni, panetterie e punti bakery.",bi-bread-slice
25,Enoteche,Enoteche e negozi specializzati in vino.,bi-wine
26,Ristoranti,Ristoranti e locali per la ristorazione tradizionale.,bi-shop
27,Bar,Bar e locali informali.,bi-cup-straw
28,Pub,Pub e birrerie.,bi-beer
29,Hotel,Strutture alberghiere per soggiorni multi-giorno.,bi-building
30,B&B,Guest house e bed & breakfast.,bi-house-heart
31,Ostelli,Ostelli per soggiorni economici.,bi-bunk-bed
32,Agriturismi,Agriturismi e strutture rurali ricettive.,bi-house-door
33,Teatri,Teatri e sale per spettacoli dal vivo.,bi-masks-theater
34,Sale concerti,Spazi dedicati a concerti ed eventi musicali.,bi-music-note-beamed
35,Biblioteche,Biblioteche e spazi culturali di consultazione.,bi-book
36,Stadi,Stadi e grandi impianti sportivi.,bi-trophy
37,Musei,Musei e raccolte visitabili.,bi-bank
38,Cinema,Cinema e sale di proiezione.,bi-film
39,Centri commerciali,Mall e grandi poli commerciali.,bi-shop-window
40,Mercati,Mercati e piazze di vendita tradizionali.,bi-basket
41,Abbigliamento,Negozi di abbigliamento.,bi-handbag
42,Artigianato locale,Botteghe e negozi di artigianato.,bi-hammer
43,Chiese,Chiese e principali luoghi di culto visitabili.,bi-plus-circle
44,Abbazie,Abbazie e complessi monastici storici.,bi-building-fill-x
45,Santuari,Santuari e luoghi devozionali di rilievo.,bi-sun
46,Punti panoramici,Belvedere e viewpoint panoramici.,bi-binoculars
47,Landmark,Attrazioni e punti di interesse iconici.,bi-star
48,Ponti famosi,Ponti di interesse storico o paesaggistico.,bi-bezier2
49,Castelli,Castelli e fortificazioni storiche.,bi-building-lock
50,Monumenti,Monumenti e memoriali di interesse turistico.,bi-buildings
51,Bagni,Servizi igienici pubblici.,bi-sign-stop
52,Fontanelle,Punti di acqua potabile e fontanelle.,bi-droplet-fill
53,Benzinai,Stazioni di rifornimento carburante.,bi-fuel-pump
54,Farmacie,Farmacie e punti salute utili in viaggio.,bi-plus-square
55,Disco,Discoteche e locali notturni per il divertimento serale.,bi-music-note-list
